date,text,title,rating
2017-06-17,"Leaf urban is as stylish as it is smart, making it my statement piece every single day since I bought it a week ago. I used to wear a Fitbit, which was effective for what it was, but wasn't winning any style points. The only thing the Fitbit did that Leaf doesn't do is to track my heartbeat. However, I'm finding my Leaf to be so much more useful. With the Bellabeat ap that integrates Leaf data, I'm getting feedback on the quality of my meditations, the consistency of my activity throughout the day, and where I am on my monthly cycle. Also, Leaf reminds me to move regularly by giving me a gentle nudge (vibration) at intervals that I set in the ap. Fitbit didn't do any of those things. And really the only time I want to know my heartbeat is when I'm actually running, not when I'm going about my day. My heart rate strap does this for me during those time, so I'm not missing anything and feel I have gained so much more with my Leaf. If you're wondering about whether a move to Leaf is right for you, ask yourself about the utility of the information, how will having the data help me understand my body's needs? The feedback from Leaf and the Bellabeat ap have brought me to a better state of health already. That, and it looks good with anything I'm wearing. My only caution is to mention that it is thicker than many of the photos make it appear; I was surprised by this, but in the end find I don't much mind. I'm including an image here to depict that. Otherwise, I've been extremely happy with my purchase and with the performance of the Leaf.",As stylish as it is smart.,5
2019-10-15,"Once I managed to get the Bellabeat app to talk to the health app which then talk to my diet app, I was very happy. It looks great not like a piece of technology.  It’s accurate against the Pedometer that’s my phone. But what makes a huge difference is I don’t have to put it aside like I do my phone, I could wear it while doing the dishes, the laundry and other obnoxious water involving things. It keeps track it and it never bothers me except the being too still buzz to make me stand and move. I wear it at night to keep track of my sleeping it never gets tangled up or breaks the chain although; I’m getting a spare chain for it just in case. No one knows I’m using Pedometer so I don’t have comments about my weight or my walking And I don’t have those helpful folks suggesting I take a walk with them at lunch, when all I want to do is sit down and read. So it’s very discreet. It has a nice clean modern look.",Discreet and pretty,5
2018-12-12,"Love it! My fitness trainer thought I was wearing jewelry on my wrist the entire time until I told her it's tracking my fitness as well. I like how you can wear this as a bracelet, necklace, or a pin to your business attire. Was easy to install & sync. I haven't taken it in the shower or tub with me just because I'm scared (even though it says waterproof) I don't want to risk it. I like the water intake section. I went out and bought a water bottle with the exact oz amount marked on it so using both that bottle & the leaf I can track if I'm drinking the correct amount or not enough. The sleep tracker is fairly nice I've noticed myself paying more attention to how I sleep because of it. The meditations aren't bad either, but there could be more added & it sucks you can't input when you've mediated in say your yoga class. I also wish they had more under the activities to select. I do bodyflow & body combat they are both 55 mins of serious sweat breaking exercises but you can't put them into the app you have to guess. Example bodyflow is a mix of Tai chi, yoga & pilates so you're left guessing how long in those 55mins you did those exercises. Body combat is mma conditioning, kickboxing, karate, Muay Thai, boxing as other arts that's cardio which is hard to track in the app since it doesn't have all those disciplines. Overall though great concept & love the leaf itself.",Love it,5
2019-05-02,"Just bought this because I wanted something more fashionable than a Fitbit and I don’t wear watches. I’ve tried several different health trackers before ie Fitbit, Apple Watch, and even Motiv. This one so far seems to be doing well as far as tracking. No issues to report right now, but I’ll update again later. I LOVE the LOOK! It’s classy and goes with anything. The band is not leather but more of this elastic plastic. It still looks cute so I have no issues. I really like how gentle it is to remind you to wake up in morning, I feel it, but it’s not annoying. So far, YES, I would recommend if you’re looking for a nicer device to wear to track your steps and or health.",Good tracker and VERY FASHIONABLE,5
2017-03-29,"I got my Bellabeat Leaf Urban about a week ago and I absolutely LOVE it!  I don't need a heavy duty fitness tracker that reads my texts to me, measures heart rate,  etc. While I often thought about getting a Fitbit I didn't like the fact that 1) I could only wear it on my wrist and 2) It wasn't as attractive as I would like since I could only wear it on my wrist.  I had an UpMove, which I really liked because I could clip it on my clothes, or wear it in a wrist band.  It had a roundish shape so it looked like a watch when wearing it.  However the wrist strap broke and I could only wear it as a clip(and the clip cover was bright yellow so I always wore it hidden.The Bellabeat Leaf is great for me!  It measures steps, and has a good variety of pre-programmed activities to enter, and sleep tracking is  must for me.  I  LOVE that it tracks meditation.  This is a practice I definintely need and never make time for.  It is still a challenge, but when I look at my Leaf and app I am reminded to make time for meditation.  I love the versatility of being able to clip it, wear it on my wrist, or as a necklace, and that it is attractive enough to do so.Things I wish it would do that it doesn't/change about it? The ""wood composite"" of the Urban Leaf is more plastic than wood than I thought it would be.  Maybe sync with MyFitness Pal.  I'm not sure how accurate the step measurments are.  I log many more steps in a day when I wear it on my wrist because of the movment of my hand (I wear it on my non-dominant hand).  A water intake tracking function would be nice too.All in all, I'm loving the Leaf, even with the few items mentioned above.",Loving the Leaf Urban,5
2017-08-10,"I'm a teacher and this tracker fits my lifestyle. I got the silver urban and it goes with anything I wear. I wore it as a bracelet and necklace and both times it stayed on me. It reminds me to do meditation and take time out for myself--exercise, drink water, take vitamins, etc. So important when I'm a busybody. I sweat quite a bit and I often wear it while washing my hands or splash my face, and it was just fine. I have irregular cycles, and the app tracks it too. Easy set up: turn on Bluetooth and tap the leaf, and you're good to go! I have the galaxy s7 edge and it paired seamlessly. For those who want more functionality, I would not recommend this, but for basic functions and style, the leaf is hands down the prettiest tracker out there. I'm not supposed to wear jewelry at work, but I can just clip it on and no one notices. Then when I'm out, just wear it as a bracelet or necklace. There's also lots of artists who make custom bead bracelets and turns the leaf into fine jewelry. I am definitely very happy with it.",So discreet and stylish,5
2017-02-28,"UPDATE: I totally figured out how to work with the clasps within a week. Now it is a ""no-brainer"" to put it on every day, and it never falls off. (I never did buy those ""lobster claw clips I thought I would need.) I get compliments on this ""pretty bracelet"" all the time. Get it. You won't regret it!Bellabeat Leaf (I have it in silver) is gorgeous. Looks like a stunning piece of jewelry. That's the #1 reason I bought it. I've been wanting a steps tracker but don't like the look of the Fit Bit or others like it.Very easy to use.Biggest complaint, just like everyone else: the clasps on the bracelet are not at all easy to work with, and the leaf can easily fall off. I'm planning to purchase lobster claw clips (as recommended by another reviewer.)",LOVE IT!! Looks like a stunning piece of jewelry!,5
2017-09-04,"The BellaBeat Leaf Urban is gorgeous and very useful.  I am still using it consistently after a month and I find that it encourages me to move more often and slow down to meditate.  The period tracker is a little off and could use some tweaking but it is a good tool to have when your doctor asks you about your cycle.  The leather band is stylish and works well with any outfit, the only con I have found with it is that it is a cumbersome to put on - I ended up getting a custom elastic band for it so I can just slip it on and off with ease.Prior to purchasing the activity tracker, I had read mixed reviews and almost didn't get it.  The steep priced also almost scared me away from it, but it turns out to be worth it.  I had tried out cheaper activity trackers with the large rubber bands and time displays, the constant recharging and chafing was not fun.","Almost didn't buy it, so glad I did!",5
2017-02-10,"i cannot tell you how much i did not want to participate in an activity tracker ""acting"" like jewelry.  This piece goes beyond my preconceptions - i'm (for lack of a better term) a tomboy that is hand tied to my phone - any activity wrist tracker would've been completely repetitive to the glued-to-my-hand device....but the leaf showed me that i can choose to not be distracted (this device also introduced me to meditation), it helped me to find more time for relaxation in meditation, and focusing on myself was not a crime. I love that i can wear about it and forget about it when I'm camping - I can just sync it when I get home from my trip. I hope they come out with a swim-able piece soon!!! But until then, I'm glued to my Bellabeat.",Absolutely my favorite tracker - thankful for the lack of yet another screen,5
2017-04-03,"LOVE LOVE THIS PRODUCT! I get so many compliments on the Bella Beat Urban and I always follow up the compliment by showing them the app associated with the device. I have recommended the Bella Beat to everyone I come across. Even those who are already sporting other fitness trackers and thier response is always the same ""that is a beautiful fitness tracker"" and I always show them it it much more than just a step/sleep tracker I love the sleep tracker as well as keeping track of my cycle, not only does it track it but it also shows your fertility days and your ovulation day. The mediation tracker is a GREAT feature there are ao many different mediations to choose from, whatever is stressing you there is a special mediation especially for it!!! In a nutshell I love it product and plan on buying more colors for all so I can have a variety of accessory options. I would give this more stars if I could!!!",LOVE THIS TRACKER...IT IS MUCH MORE THAN A STEP TRACKER!!!,5
2017-03-28,"My husband refused to buy me a Fitbit because he said it wasn't my style, and I'd use it for a week then stop using it. And so my quest began for a cute, stylish modern fitness tracker that could be worn in corporate America. I found it with Bellabeat and I love it. The app is easy to use, and I love that I don't have to drag my phone along to track my morning jogs. You can also set it to remind you to take medication/vitamins, and to wake you up in the morning. I wear it as a bracelet, and was a little apprehensive about the reviews complaining that the clasp slips. I agree it takes a little getting used to when you first put it on, but I haven't had issues with it coming undone while wearing it. There are lots of holes in the band to ensure your wrist gets a tight fit. I love it and highly recommend Bellabeat.","Beautiful, functional and easy!",5
2017-01-16,"I really enjoy my Leaf! Before this, I had been a FitBit user. However, I always had problems with my FitBit giving me a rash. Although I loved it, I couldn't keep using it. My mom convinced me to try out the Leaf and I really like it! The fitness goals are a lot more low key than FitBit and I don't get a nasty rash. I love that I can wear it as a necklace or a bracelet or even clip it on to my clothes. It's considerably less bulky than my FitBit. I'm pretty small, so I like that it doesn't overwhelm my wrist. I love the meditation feature that reminds me to take a break throughout the day too. Overall, an excellent product with AWESOME customer service. If you're looking for a good fitness tracker designed for women, I highly recommend the Leaf",I really enjoy my Leaf,5
2017-03-15,"I have to say that I am absolutely thrilled with my new Leaf! I had previously used the Fitbit One that I clipped to my pants. I never bought into any of the other types as I found them so ugly, and I often wear bracelets. The look of the Leaf is perfect, and the urban has gotten me many compliments as a piece of jewelry!As for the functionality, I am very happy with it. The app is easy to use. I love the ability to track not only my steps, but other aspects of my health. I have a daily meditation practice and I love to see the way that may practice contributes to stress reduction. I love the sleep and period tracker, as I am able to have a heads up on when my stress levels will be high, as I can be more proactive on that day.Finally, one of my favorite things about the Leaf is that I don't have to worry about charging it!!I would give the leave a big thumbs up. If you are looking for a stylish and more comprehensive way to track your health, go for it! Now if we can find a way to make it waterproof!",Thrilled!,5
2017-07-17,"I love this tracker.  Not only is it beautiful, but I love how versatile it is.  Everyone always thinks that it is a piece of jewelry.  The only thing that I do not like about it is the leather bracelet was a bit small to do a double wrap, would prefer a different band.  I do really like that you can clip it or wear as a necklace.  The step tracking is accurate and I do like that you can enter in other activities as well.  I would recommend this.  I did have a Fitbit previously and was so frustrated with them, it stopped working and their customer service was awful, will never go back to that product.  Bellabeat for me!",Beauty & Brawn,5
2020-12-26,"This company went WELL out of their way to help me.  I couldn't fix the clasp because of arthritis in my hands, so they made me a one off beaded band that is stretch.  It works perfect and so does the tracker.  I really was impressed with this company.",It works well and the company is impressive!,5
2017-07-14,"If you are expecting a fit bit, this is not it. Specially designed for women and a BALANCED life. It does track activity in many forms as well as sleep, meditation and menstration cycle to arrive at a stress quotient. I love mine! It is attractive and serves the purpose I bought it for. I do recommend that while you can wear it in three different ways, it is most accurate over time if you wear it the same way as often as possible. Also, if you've ever had a fit but or other activity tracking tool, this might take some getting used to. I don't think they work in like fashion.",Love my Urban Leaf!,5
2018-07-31,"THE GOOD:1) I had been looking for an accurate pedometer that was nice and discreet enough to wear to work. This is it! I was impressed when I opened the box, it is beautiful and smaller then I was expecting.2) The step count is very accurate.  I compared it to the Pacer app I have on my phone, and the leaf is more accurate.3)  I also like that you can wear it in different ways, even though I clip it on my pants most of the time. I tried the necklace, looked nice, but i found the metal uncomfortable against my skin. Also, sometimes it gets hot which made me more aware of it near my chest area and I didn't like that. But that's a personal preference.THE BAD:1) The sleep tracker is useless. Basically if you wear the leaf after 9 pm and you happen to be sitting still (like if you are watching TV) it will record this time as sleeping. However if you take a nap before 9 pm is does not record that time and you have to input the nap manually. Other activity trackers monitor you naps automatically. It seems to me that the sleep tracker is not based on your breathing, but it is merely focusing on your movement, and it start tracking this movement only after 9 pm. In my opinion they could have done a better job with this. So I have not been wearing it at night and usually input my sleep manually.If anything, I wish I could deactivate the sleep tracking because every time I sink in the morning I have to fill out the sleep section before I can see anything else, which is time consuming and frankly, kind of annoying.2) When i take it off at night, I wish there was a way to turn it off somehow so It doesn't burn the batteries, but there is no way to do this. It is meant to be worn 24/7 until the battery runs out.3) Step count is the only thing it tracks automatically. Any other activity has to be inserted manually.4) I find the concept of bracelet ridiculous. It is shaped like a watch, occupies as much (and maybe more) space as a watch would ... but it is not a watch, so why would i wear this thing on my wrist? I don't understand the fashion statement.5) I used to have the Inactivity alert set to Level 5 (meaning don't let me rest for longer then 1 hour) but it would vibrate regardless of my activity status, so now I keep it turned off. For example, I came back from an hour walk on Saturday and it started vibrating ... really?6) Period tracker: if you input the start of your period, you also have to enter the last day or it will not know. You pretty much have to enter every single thing you want tracked. I don't like this at all.To sum up, this is a $150 beautiful pedometer. It advertises that it does other things, but truth be told it is a pedometer with some meditation exercises. I find it a little overpriced for a pedometer, but since it was hard enough to find a discreet and accurate pedometer, to me, it is worth it. But I don't think it is an activity tracker.UPDATE 10-9-18I have been wearing it for a few months now and it has definitely loosened up. I don't wear thick clothing or anything (dressed pants, workout pants and jeans). When it becomes loose like this, it can easily fall off, So be careful. I am now looking for something that will help secure it to my pants (which is where you get the most accurate reading). I know I can use the screwdriver disassemble and tighten it when it gets loose, but this is barely a temporary fix ... the second i clip it to my jeans it will loosen up again, so why bother.The real concern is: Why does it have to get loose in the first place? This is yet another design flaw that should have been addressed.Update:1-1-19No longer accurate, so now it’s pretty much useless.Update 6-8-21Have not worned it since my last review. But I recently started a new job where I find myself seating waaaay too much, do I thought I would give it one more try. Unfortunately it stopped working. Contacted customer service and did all the required trouble shooting: Changed the battery, reinstalled the app, unpaired and repaired, but it will not sink anymore. I guess now I have to throw it out... For good.There goes 150$.",Gets loose over time. Stopped working.,1
2017-05-12,"I was so excited to get my Bellabeat two weeks ago, I stayed up late programming it once it came.  I have to say I love this!  It looks like jewelry..... several female co workers saw me wearing it and asked where to get one since they like the concept as well.  The exact steps aren't measured but I look at it as an overall fitness band.  I really love how the app incorporates sleep, meditation, excersise and monthly cycle.  I'm not one for meditating but in the last two weeks I've started to and can tell the difference with my daily life.The only minor down side I have is that the bracelet is too long to wrap once around my wrist but too small to double wrap it. I have it on the very last hook with the slider and at times when I excersice it feels uncomfortable since its snug. Other than that Thus is perfect.",Love my Bellabeat,5
2017-04-04,"When the bellabeat leaf came up in my Pinterest feed, I immediately purchased it!  I work in the fitness industry and I love the idea of including activity, sleep, meditation and mindfulness with the individual's monthly cycle. All of these aspects are necessary to consider to achieve true wellness... and the Leaf does it!  The beautiful presentation as a necklace or bracelet is such an added bonus!  My friends and clients are also falling in love with their Bellabeat products. The Leaf is beautiful and the app is very user friendly.  I special ordered a silver and white cord to wear as the Leaf bracelet, and that has proven to be my favorite way to wear my Leaf. I also like that I do not have to charge the battery.",Love my Leaf,5
2017-07-13,"The bellabeat leaf does everything it promises. I'm wondering if some of the reviewer's on here don't understand how it works or what it was meant for, or just don't know how to use technology and its limitations. It has an intense vibration so much, that I had to pick it  up off of my skin today because the alarm works that well.  Just for fun I took two steps and synced it to see if it recorded and it did.  I also swung it back-and-forth and then synced to see if it falsely read it on my necklace and it did not.  It's not good at recording exactly when I go to bed so I always have to put that in, but you can put in any sleep time and any naptime.  It also shows how well you can manage stress if you've been exercising, sleeping, and meditating correctly.  Which is really cool. I don't always take care of myself and this has already made me more aware and I have been using it only three days! The sync is super fast and I have real data I can work with! Beauty and function meet!  And it's pretty awesome to have some white Ash as these are going to be extinct sometime in the near future due to the emerald ash borer.",Wow,5
2018-03-07,"I love the way the Bellabeat Leaf Urban looks. I usually wear casual clothes, and it goes well with my style of clothing. It would go well with dressier outfits as well. I've had it about a week, and am learning all the features of the app. It was really easy to set up and start using. The only downside I've found so far is that it doesn't automatically detect me riding my exercise bicycle, but thst may be because I wear it on my wrist. (It allows to to enter it manually, though.) For the next week, I'm going to try riding with it clipped to my waistband. Love the guided meditations and stress resistance feature. I wish there was a way to enter blood pressure readings. Pros: Looks, ease of use. Cons: Might not automatically detect certain activities.",A beautiful option for fitness tracking,5
2017-12-12,"I bought this July 28, 2017. I am still loving it. Better than fitbit. I wanted fitbit, but it doesn't match when wearing a dress. This can be a necklace or a bracelet. It use bluetooth to sync both steps and sleep patterns to smart phone app. I also like the app that you can track period, water log for hydration, and meditation. Bellabeat they constantly doing updates on their app, hydration was new. Bellabeat provide products that continues update and improve their functionalities.",Better than fitbit and weare it all the time!,5
